Field-level output
Created by GroIMP
time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR
1.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2916666666666665	0.0	NaN	0.0	1.200000000000002
2.0	9.0	0.0	8.333333333333334	0.0	0.0	2.286506681964632	0.0	NaN	0.0	1.200000000000002
3.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2751866908096434	0.0	NaN	0.0	1.200000000000002
4.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2600027817197916	0.0	NaN	0.0	1.200000000000002
5.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2394934687333223	0.0	NaN	0.0	1.200000000000002
6.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2190178710251494	0.0	NaN	0.0	1.200000000000002
7.0	9.0	3.4761045239508945E-6	8.333333333333334	0.0	0.0	2.1984285259696494	0.0	0.0	4.1713254287410734E-5	1.200000000000002
8.0	9.0	2.0813599614284293E-5	8.333333333333334	3.8791643126707E-6	0.09624788083950238	2.177400742190286	0.0	0.0	2.497631953714115E-4	1.200000000000002
9.0	9.0	6.305829027645339E-5	8.333333333333334	1.1340981642590646E-5	0.7879750009385518	2.155599832598629	0.0	0.0	7.566994833174406E-4	1.2021056214023362
10.0	9.0	1.379151090706863E-4	8.333333333333334	1.874372784989559E-5	3.8105590869427055	2.1328131046653334	0.0	0.0	0.0016549813088482356	1.2091689282007758
11.0	9.0	2.53873582033637E-4	8.333333333333334	4.5566706737113036E-5	12.972724242744766	2.1089011474940373	0.0	0.0	0.003046482984403644	1.2438725973438098
12.0	9.0	4.201895279065261E-4	8.333333333333334	9.13886301776121E-5	42.61833571613706	2.0840758363741902	0.0	0.0	0.005042274334878314	1.233954072253352
13.0	9.0	6.468631465999915E-4	8.333333333333334	1.6978948019121093E-4	105.97713406904336	2.0588683361755042	0.0	0.0	0.0077623577591998975	1.2579137389994899
14.0	9.0	9.446134919789284E-4	8.333333333333334	2.0547598109742397E-4	175.6603071795197	2.0330543504170424	0.0	0.0	0.01133536190374714	1.2482252068135664
15.0	9.0	0.0013248493349203333	8.333333333333334	2.857575793953595E-4	254.09514385336502	2.0064490521064573	0.0	0.0	0.015898192019044	1.21448294818794
16.0	9.0	0.001799636433576892	8.333333333333334	4.3304424242081324E-4	388.6963647040931	1.9800955855106908	0.0	0.0	0.021595637202922704	1.2301721207890948
17.0	9.0	0.002381661238838703	8.333333333333334	5.032320290285136E-4	472.92156350901297	1.9521896518156467	0.0	0.0	0.028579934866064437	1.21819248427863
18.0	9.0	0.0030841910740946198	8.333333333333334	7.68385681689915E-4	658.3699475983507	1.9249227622245104	0.0	0.0	0.03701029288913544	1.2150400439855176
19.0	9.0	0.003921030839522522	8.333333333333334	0.0010214521458726826	908.2438984783768	1.899472715744592	0.0	0.0	0.04705237007427026	1.2242741463226252
20.0	9.0	0.004906476302253001	8.333333333333334	0.0013155890716654225	1168.8311914753747	1.8755674284638235	0.0	0.0	0.05887771562703602	1.2407885008731632
21.0	9.0	0.006055264044822782	8.333333333333334	0.0016512441246849998	1387.212214857864	1.8515203694676232	0.0	0.0	0.07266316853787338	1.2215610358372073
22.0	9.0	0.007520066925604242	8.333333333333334	0.0019170478884266628	1712.9802306721183	1.8261795407477113	0.0	0.0	0.09024080310725091	1.2088282447269123
23.0	9.0	0.009333822101881684	8.333333333333334	0.0024911083354402026	2219.370674354312	1.8032999836833312	0.0	0.0	0.1120058652225802	1.20884485138999
24.0	9.0	0.01153011536586814	8.333333333333334	0.002986837875960797	2882.081153286095	1.7859373296355414	0.0	0.0	0.13836138439041767	1.1972372928223793
25.0	9.0	0.014143054945191335	8.333333333333334	0.003543676194512073	3552.5644371031763	1.7731767143001047	0.0	0.0	0.16971665934229602	1.1341418382142643
26.0	9.0	0.017207139530857073	8.333333333333334	0.004318698745833743	4336.854995509467	1.766894588133775	0.0	0.0	0.20648567437028487	1.1161865623265461
27.0	9.0	0.02031880658580005	8.333333333333334	0.005271545401916836	5320.544898881179	1.786046311397503	0.0	0.0	0.2438256790296006	1.1086880016919967
28.0	9.0	0.02223549011663108	8.333333333333334	0.006000567940887565	6182.027615721534	1.8687805658635932	0.0	0.0	0.266825881399573	1.0835252580987058
29.0	9.0	0.02377694793154986	8.333333333333334	0.006623046082587932	6937.0810017244485	1.98430809861813	0.0	0.0	0.28532337517859835	1.0766360549642942
30.0	9.0	0.025435887259728566	8.333333333333334	0.006970441643554511	7479.660283154605	2.110062494202722	0.0	0.0	0.3052306471167428	1.0620583847008296
31.0	9.0	0.027238297735920455	8.333333333333334	0.007262475334926381	8023.320156345021	2.2450737549231574	0.0	0.0	0.32685957283104544	1.0568174728416628
32.0	9.0	0.029238032292055776	8.333333333333334	0.007915935475171797	8791.28895947804	2.3934297336519244	0.0	0.0	0.3508563875046693	1.0488158059619348
33.0	9.0	0.03132399658043942	8.333333333333334	0.00837006683252876	9122.313887797829	2.5469698006947525	0.0	0.0	0.375887958965273	1.0319234729405435
34.0	9.0	0.033552647764856454	8.333333333333334	0.008724718827305435	9685.62350686493	2.7099548929759667	0.0	0.0	0.4026317731782774	1.0362848730823895
35.0	9.0	0.03605960789303376	8.333333333333334	0.009434266409876066	10726.541165315351	2.8911537093581394	0.0	0.0	0.4327152947164051	1.031191285075644
36.0	9.0	0.038833116597423445	8.333333333333334	0.010381677242970205	11728.278848282838	3.089727292876612	0.0	0.0	0.46599739916908134	1.019629061771907
37.0	9.0	0.04189374126307296	8.333333333333334	0.011116044549067202	12816.604790998761	3.3071666972092717	0.0	0.0	0.5027248951568755	1.005047848714802
38.0	9.0	0.0453119007132648	8.333333333333334	0.011960254730591733	14181.432166046672	3.5484639754604905	0.0	0.0	0.5437428085591776	1.0095869501396522
39.0	9.0	0.04912448236186773	8.333333333333334	0.013180969867474773	15693.251920207544	3.8161858595585922	0.0	0.0	0.5894937883424127	1.0095004812432544
40.0	9.0	0.05330135660123476	8.333333333333334	0.014703195833630113	17098.721830213613	4.108200082697406	0.0	0.0	0.6396162792148171	0.9910763288686856
41.0	9.0	0.057834804104045505	8.333333333333334	0.016246288327643674	18666.986208193073	4.427362728645895	0.0	0.0	0.694017649248546	0.9858739505758307
42.0	9.0	0.06287609357183108	8.333333333333334	0.017839540942111258	20826.348838874812	4.784428740662956	0.0	0.0	0.7545131228619729	0.987088759712349
43.0	9.0	0.06848430898606313	8.333333333333334	0.019588957535769162	23234.932283256418	5.183765974906947	0.0	0.0	0.8218117078327576	0.9911437313070387
44.0	9.0	0.07494506393201851	8.333333333333334	0.021863246155362122	26773.90799184408	5.646002519367876	0.0	0.0	0.8993407671842221	0.9844675948689519
45.0	9.0	0.08195563384538714	8.333333333333334	0.02498458823006877	29334.857119023367	6.152664069455315	0.0	0.0	0.9834676061446456	0.9844201557816641
46.0	9.0	0.08987374526829188	8.333333333333334	0.02821773070569509	33386.4874894328	6.7310247978699165	0.0	0.0	1.0784849432195025	0.9757616423648185
47.0	9.0	0.09883164659024261	8.333333333333334	0.031639610481903224	38021.37533574642	7.3914140476243375	0.0	0.0	1.1859797590829113	0.9852444618946886
48.0	9.0	0.10892463339957541	8.333333333333334	0.03574038854584197	43103.85757701417	8.141588463349354	0.0	0.0	1.3070956007949048	0.9815711737582652
49.0	9.0	0.12020194456266277	8.333333333333334	0.04044913981618321	48708.52364592766	8.990634548806307	0.0	0.0	1.4424233347519533	0.9852575548040666
50.0	9.0	0.13293979468208703	8.333333333333334	0.04607714811142962	55528.415285419476	9.960391884967573	0.0	0.0	1.5952775361850444	0.9773110015601593
51.0	9.0	0.14770231305909878	8.333333333333334	0.05196687366763569	64796.21420142017	11.095347598634172	0.0	0.0	1.7724277567091853	0.9758379602324024
52.0	9.0	0.1640256857627421	8.333333333333334	0.05853895823042471	72269.42332300737	12.361289383349918	0.0	0.0	1.968308229152905	0.9751506512757697
53.0	9.0	0.18215270819387708	8.333333333333334	0.06588059616029446	81171.62341301437	13.783805781725647	0.0	0.0	2.185832498326525	0.9716556290805208
54.0	9.0	0.2023823231974985	8.333333333333334	0.07291630187833269	91480.23837199433	15.387906827416387	0.0	0.0	2.428587878369982	0.9565735146368737
55.0	9.0	0.22524363366088218	8.333333333333334	0.08280766631654954	104228.98622019852	17.217552441495055	0.0	0.0	2.702923603930586	0.9541965615309558
56.0	9.0	0.2498549094867104	8.333333333333334	0.09226421036931712	113322.94104116094	19.203765767906663	0.0	0.0	2.998258913840525	0.9391860355964455
57.0	9.0	0.27723755348770246	8.333333333333334	0.10210416703380688	127270.0193767199	21.435266535732023	0.0	0.0	3.3268506418524293	0.931032834586371
58.0	9.0	0.30858064581730266	8.333333333333334	0.11332244776977496	146804.07032541002	24.01378015326586	0.0	0.0	3.702967749807632	0.9231491428481643
59.0	9.0	0.34184435812583663	8.333333333333334	0.12549786308429162	157502.0278487792	26.773792321462704	0.0	0.0	4.10213229751004	0.9110083545740497
60.0	9.0	0.37919253473450065	8.333333333333334	0.13913130788090886	178091.6522185603	29.896999147775777	0.0	0.0	4.550310416814008	0.9038147476292633
61.0	9.0	0.42063059831483046	8.333333333333334	0.15339443471335973	199417.23030072605	33.39471602146946	0.0	0.0	5.047567179777966	0.8939085278269665
62.0	9.0	0.4667698886120269	8.333333333333334	0.16825549855919109	223872.68181110304	37.32243673566701	0.0	0.0	5.601238663344323	0.8879780349445681
63.0	9.0	0.5159282954810442	8.333333333333334	0.1843728346323129	240886.86442218148	41.539906363584784	0.0	0.0	6.191139545772531	0.8777562873444086
64.0	9.0	0.5722770944286499	8.333333333333334	0.2037740129305962	278208.580745061	46.421996163544755	0.0	0.0	6.867325133143799	0.8643231870873646
65.0	9.0	0.6334500321651453	8.333333333333334	0.2234573233682378	304980.4992737408	51.76949804019835	0.0	0.0	7.601400385981743	0.8546800092365836
66.0	9.0	0.697495540374686	8.333333333333334	0.243964913338394	322721.1646127083	57.41167706489346	0.0	0.0	8.369946484496232	0.844053284265017
