Field-level output
Created by GroIMP
time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR
1.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2916666666666665	0.0	NaN	0.0	1.200000000000002
2.0	9.0	0.0	8.333333333333334	0.0	0.0	2.286506681964632	0.0	NaN	0.0	1.200000000000002
3.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2749801268305476	0.0	NaN	0.0	1.200000000000002
4.0	9.0	0.0	8.333333333333334	0.0	0.0	2.2591772939314265	0.0	NaN	0.0	1.200000000000002
5.0	9.0	0.0	8.333333333333334	0.0	0.0	2.238672893360557	0.0	NaN	0.0	1.200000000000002
6.0	9.0	0.0	8.333333333333334	0.0	0.0	2.218201678518178	0.0	NaN	0.0	1.200000000000002
7.0	9.0	0.0	8.333333333333334	0.0	0.0	2.1977024398627085	0.0	NaN	0.0	1.200000000000002
8.0	9.0	0.0	8.333333333333334	0.0	0.0	2.1771048524818135	0.0	NaN	0.0	1.200000000000002
9.0	9.0	1.759336151414888E-5	8.333333333333334	0.0	0.0	2.1558929859137534	0.0	0.0	2.1112033816978658E-4	1.200000000000002
10.0	9.0	6.52117591045948E-5	8.333333333333334	1.1187348100777051E-5	0.4854672361808478	2.133686708779044	0.0	0.0	7.825411092551376E-4	1.200000000000002
11.0	9.0	1.5137938870377868E-4	8.333333333333334	2.6514748593828846E-5	3.7221459657449354	2.1102563545561943	0.0	0.0	0.0018165526644453442	1.2268939817210753
12.0	9.0	2.8539196640390966E-4	8.333333333333334	5.870663405771358E-5	19.4367190262668	2.0856023045562857	0.0	0.0	0.003424703596846916	1.2303359863919598
13.0	9.0	4.7729483696305736E-4	8.333333333333334	1.0758865879442807E-4	57.0097836433734	2.0599443628064673	0.0	0.0	0.0057275380435566885	1.244264228615759
14.0	9.0	7.378574601107016E-4	8.333333333333334	1.6910053110902155E-4	130.8411354549618	2.0338530140417395	0.0	0.0	0.00885428952132842	1.25066242987065
15.0	9.0	0.001078544280554144	8.333333333333334	2.608166722760785E-4	221.308448764019	2.0073486869968056	0.0	0.0	0.012942531366649728	1.2374565289137862
16.0	9.0	0.001511481998574686	8.333333333333334	3.728805623301744E-4	324.509361319692	1.9803227251285993	0.0	0.0	0.01813778398289623	1.2223055374644785
17.0	9.0	0.0020494232691702177	8.333333333333334	4.152852249007922E-4	393.31724363774384	1.951398197832133	0.0	0.0	0.02459307923004261	1.2176333375368253
18.0	9.0	0.002705706868817662	8.333333333333334	6.551404005999722E-4	565.2420770424735	1.9228179682372024	0.0	0.0	0.03246848242581194	1.2121434945239706
19.0	9.0	0.0034942143800648488	8.333333333333334	8.867322689331252E-4	811.132291511078	1.896012497287512	0.0	0.0	0.04193057256077819	1.1979362209403923
20.0	9.0	0.004429323455284464	8.333333333333334	0.001063156131377924	958.9805493488429	1.867836259570776	0.0	0.0	0.05315188146341357	1.2428316998567714
21.0	9.0	0.005525857732002597	8.333333333333334	0.0015342331839232083	1259.8268523792	1.8417813732967712	0.0	0.0	0.06631029278403117	1.2242444752359747
22.0	9.0	0.006799033483219329	8.333333333333334	0.0018233789722184143	1637.7054893296117	1.8192845087967962	0.0	0.0	0.08158840179863194	1.2178524533601007
23.0	9.0	0.008264403097037012	8.333333333333334	0.002403851006634541	2147.9801661535844	1.8032149317345665	0.0	0.0	0.09917283716444414	1.2004743708172563
24.0	9.0	0.009937795490673395	8.333333333333334	0.0027999681687668576	2698.879397235445	1.7939781139284523	0.0	0.0	0.11925354588808074	1.2369163124231641
25.0	9.0	0.012013131109645164	8.333333333333334	0.003363339557671127	3243.7041669970863	1.7863164376113694	0.0	0.0	0.14415757331574197	1.1987122433049757
26.0	9.0	0.014525822095221136	8.333333333333334	0.003906576529045969	3908.5813721639247	1.7822758465415174	0.0	0.0	0.17430986514265362	1.1937739309293456
27.0	9.0	0.017494000447810815	8.333333333333334	0.004697206533929976	4740.948716250164	1.7857484914362483	0.0	0.0	0.20992800537372977	1.1788518495619285
28.0	9.0	0.020245497442697966	8.333333333333334	0.005676339019619867	5748.763809161749	1.82498212256133	0.0	0.0	0.24294596931237558	1.1814484341355564
29.0	9.0	0.021961471892750564	8.333333333333334	0.006711844518315727	6841.114802518175	1.9297429556981036	0.0	0.0	0.26353766271300677	1.1574689056465137
30.0	9.0	0.02356668870857176	8.333333333333334	0.006833327215424763	7438.28268606491	2.053713907191758	0.0	0.0	0.2828002645028611	1.1248449484807543
31.0	9.0	0.02525795848268561	8.333333333333334	0.007417229686159852	7957.098987988405	2.1877833750292006	0.0	0.0	0.30309550179222733	1.1201030206632587
32.0	9.0	0.02710077406965626	8.333333333333334	0.007688246095926979	8610.438736430622	2.3331574114584472	0.0	0.0	0.32520928883587513	1.1071727767194275
33.0	9.0	0.029010492070413476	8.333333333333334	0.008186679171772224	8900.765981842867	2.4829820583278397	0.0	0.0	0.3481259048449617	1.1070506860487084
34.0	9.0	0.03109513431550535	8.333333333333334	0.00886219178183716	9653.976442616395	2.6457853027209834	0.0	0.0	0.3731416117860642	1.0852039580287873
35.0	9.0	0.0334483737055394	8.333333333333334	0.009323055884545371	10702.200213241404	2.826938464495438	0.0	0.0	0.4013804844664728	1.0929518360551311
36.0	9.0	0.03601816853389501	8.333333333333334	0.010214639173045301	11542.057582138996	3.02247445292889	0.0	0.0	0.43221802240674007	1.0894185436479535
37.0	9.0	0.03887783581697973	8.333333333333334	0.010993399999601035	12690.142902829322	3.2380000033199177	0.0	0.0	0.4665340298037568	1.084643851867422
38.0	9.0	0.042099671687001905	8.333333333333334	0.012049776946048448	14137.177583752507	3.4789150211926	0.0	0.0	0.5051960602440229	1.0614455627919284
39.0	9.0	0.0457222725840028	8.333333333333334	0.01361867089444397	15744.871946156121	3.7480292185862236	0.0	0.0	0.5486672710080336	1.0634084986034686
40.0	9.0	0.0497391574589432	8.333333333333334	0.014895682479706568	17333.362487865368	4.044809973407334	0.0	0.0	0.5968698895073185	1.053020368471668
41.0	9.0	0.05420772868131029	8.333333333333334	0.01642971034173878	19158.916595245504	4.373464916704704	0.0	0.0	0.6504927441757234	1.049136298873341
42.0	9.0	0.05924644783426248	8.333333333333334	0.01831214152290113	21348.881688913283	4.740529086643675	0.0	0.0	0.7109573740111498	1.0502207757258448
43.0	9.0	0.06495463973123158	8.333333333333334	0.020610808830390282	23935.657854410096	5.153095240310304	0.0	0.0	0.779455676774779	1.0598304608818343
44.0	9.0	0.07156659797550445	8.333333333333334	0.022783923870542917	27441.235618107272	5.627860027708569	0.0	0.0	0.8587991757060535	1.0644344703348698
45.0	9.0	0.07897857395783234	8.333333333333334	0.025785272602745272	30553.942928784978	6.157169701418256	0.0	0.0	0.947742887493988	1.0530033493512763
46.0	9.0	0.08755268809156774	8.333333333333334	0.029190763066304207	35073.4121424149	6.766683497022143	0.0	0.0	1.050632257098813	1.0422019230254695
47.0	9.0	0.0974243159114719	8.333333333333334	0.03335839860868167	40126.96413745972	7.465768221500535	0.0	0.0	1.1690917909376628	1.0335462466128291
48.0	9.0	0.10863923056457454	8.333333333333334	0.0381307173074059	45789.73264375536	8.265120457838789	0.0	0.0	1.3036707667748946	1.0364596989690111
49.0	9.0	0.12153680290259132	8.333333333333334	0.04319070826893361	52837.05981149607	9.18970097992206	0.0	0.0	1.4584416348310958	1.0282605882977542
50.0	9.0	0.1363792636538747	8.333333333333334	0.05076872727252973	60994.74694120234	10.259244965159121	0.0	0.0	1.6365511638464965	1.031483666765555
51.0	9.0	0.15409791757465072	8.333333333333334	0.058410678237362984	72901.92021302962	11.542145395480297	0.0	0.0	1.8491750108958085	1.022842916524804
52.0	9.0	0.1741427137711248	8.333333333333334	0.06708354312485569	82799.36014541156	12.999909812288587	0.0	0.0	2.089712565253498	1.0205131700038088
53.0	9.0	0.19657248578238248	8.333333333333334	0.07584052661009721	93048.10787547613	14.637930216063047	0.0	0.0	2.3588698293885897	1.0139339178229747
54.0	9.0	0.22236072052270242	8.333333333333334	0.08726669884600462	107958.49170539297	16.541237608082678	0.0	0.0	2.668328646272429	1.0091673252013849
55.0	9.0	0.251924032953257	8.333333333333334	0.09906141867336972	124850.6181337681	18.74520564234584	0.0	0.0	3.0230883954390837	1.0068399571998534
56.0	9.0	0.2848793623241356	8.333333333333334	0.11306525489093959	140657.23250350286	21.229431522754293	0.0	0.0	3.418552347889627	0.9869098917308566
57.0	9.0	0.32174513781844516	8.333333333333334	0.12721629025098058	158703.57340517547	24.03264363687657	0.0	0.0	3.860941653821342	0.9780613820974007
58.0	9.0	0.36271348394242753	8.333333333333334	0.14263546305778085	177832.24577374756	27.173017182216388	0.0	0.0	4.35256180730913	0.9651167323390307
59.0	9.0	0.40667380915938106	8.333333333333334	0.16012385142454397	193271.9508579621	30.57856936077263	0.0	0.0	4.8800857099125725	0.948007049182516
60.0	9.0	0.4558629478725902	8.333333333333334	0.17740708355095475	219317.83423931873	34.45160059757553	0.0	0.0	5.470355374471082	0.9267686479598167
61.0	9.0	0.5105400211009398	8.333333333333334	0.19520593668041716	247277.08183094926	38.82760472281892	0.0	0.0	6.126480253211278	0.9111414147802592
62.0	9.0	0.5716058672719297	8.333333333333334	0.21605083970327982	281835.2293180166	43.84354792993702	0.0	0.0	6.859270407263157	0.8916971390441313
63.0	9.0	0.6392440819594692	8.333333333333334	0.23799831008485484	323039.46589497756	49.65223135983354	0.0	0.0	7.670928983513631	0.8728412724626554
64.0	9.0	0.7110967810789477	8.333333333333334	0.26165030420845403	350700.9208283072	55.96811161058867	0.0	0.0	8.533161372947372	0.8540410648225506
65.0	9.0	0.7872055800167131	8.333333333333334	0.2853118728440123	380417.88966835826	62.83838593917988	0.0	0.0	9.446466960200558	0.8384582964938774
66.0	9.0	0.8665740941061859	8.333333333333334	0.3088874290250991	402876.77024957794	70.10052840910495	0.0	0.0	10.398889129274231	0.8249712061719617
67.0	9.0	0.9507982234143911	8.333333333333334	0.3328158092875837	440406.68455974496	78.0835692099745	0.0	0.0	11.409578680972693	0.8054680123195267
