Absolute (scaled and unscaled) effects; first averaged outputs of 3 replicates.

 Unscaled absolute effects:
Yield:
1					2					3					4					5					6					7					8					9					10					11					12					13					14					15					16					17					18					19					20					21					
22					23					24					25					26					27					28					29					30					31					32					33					34					35					36					37					38					39					40					41					
42					43					44					45					46					47					48					49					50					51					52
2.004939862e+02	1.626511959e-01	3.823620106e+01	2.289492096e+01	9.875640181e-04	6.911559032e-04	3.935245725e-03	1.617552893e-02	1.292518834e-01	9.287117555e-02	3.004422748e-01	1.916544925e-01	1.562146209e+03	1.677515869e+02	1.493194896e+01	2.289440057e+01	2.703130226e+01	7.103226804e+02	6.705105195e+02	2.421014600e+00	6.097174680e-01	6.605338565e-01	7.339859539e+03	1.835037808e+02	1.497232505e+01	1.345399577e+00	3.981706754e+00	4.621395552e+00	2.283773714e+01	3.950723076e+01	1.252224371e+02	3.036182496e+01	8.976721403e+03	3.545311445e+03	7.624245381e-01	9.560076443e+01	1.787827736e+04	1.177779033e+03	1.531681746e+01	1.748760948e+01	2.778856450e+00	1.151601112e+01	8.038153073e+01	1.549753066e+01	6.719531051e+01	6.902282330e+02	2.693208005e+02	7.700527053e-01	1.092209825e+04	1.305823793e+03	8.351857269e+01	6.383472637e+01
1.856311408e+03	1.175070307e+02	2.963905150e+01	4.031695191e+00	1.505597828e-03	9.609031389e-04	2.606431523e-02	8.751067180e-02	2.228914776e-02	3.259872211e-01	1.909608052e-01	5.584596865e-01	1.579820455e+03	1.971250900e+02	5.724601077e+01	3.146388570e+00	2.899652844e+00	2.739607069e+01	4.173379374e+01	9.994629144e-01	1.087200794e-01	3.704087312e-01	2.749336195e+03	5.452795061e+00	1.845698345e+01	3.576073130e-01	2.253643818e+00	1.506299739e-01	1.248137501e-01	7.758002525e-01	8.641633406e+01	6.493574225e-01	4.378583499e+02	6.253759266e+01	1.243578772e-01	9.939039562e-01	2.383794955e+03	1.513645403e+03	1.500921931e+00	1.289682882e+01	2.704025254e+00	8.634040916e+00	2.919790178e+01	2.302839787e+01	1.835077519e-01	6.070138975e+02	2.097504875e+02	4.795363240e-01	7.748958205e+03	1.135432482e+03	1.193248334e+02	6.625856973e+01
7.569864249e+00	3.224960249e+00	4.374954683e+01	1.673546050e+01	2.720772151e-03	7.329154014e-04	3.092134116e-02	1.840280306e-02	4.596188579e-02	3.658182186e-01	2.201334498e-01	5.254198784e-01	6.245274999e+02	1.393442204e+02	3.927009279e+01	2.312934044e+00	2.960585853e+00	6.244032496e+01	1.899655391e+00	4.768184447e-02	4.874226539e-01	3.884469048e-01	5.506501513e+00	7.973086860e+00	2.999214617e+00	7.631240734e-03	2.057938653e+00	4.762497605e-03	4.804921287e-01	3.412605935e-01	1.931904756e+02	6.957843864e-01	5.990009134e+01	1.902808299e+01	5.544992124e-02	1.084920475e+02	8.278382525e+03	1.812882043e+03	4.256504364e+00	8.894323333e+00	1.997640428e+00	1.317591743e+01	5.361746847e+01	6.339747146e+00	8.782323761e-01	1.098924763e+03	2.891713324e+02	8.358264818e-02	1.284907024e+04	1.608987197e+03	1.884248046e+02	9.896156272e+01
2.979428075e+02	5.799378640e+00	3.349513633e+01	9.430138986e+00	8.025990053e-03	2.120270943e-04	2.349302397e-02	3.949093442e-02	7.964253532e-02	3.232137397e-01	5.613981994e-01	2.363730729e-01	2.797189321e+03	6.693458535e+00	8.750545622e+01	3.126329720e-01	1.912672841e+01	2.413464845e+02	2.348939520e+02	9.695628810e-01	1.553830308e+00	5.980827076e-01	2.242875289e+03	4.457764079e+01	8.799478764e-01	1.268369557e-01	3.506225968e-01	6.394478456e-01	1.461812088e+01	1.139676188e+01	1.065392959e+02	2.069494881e-01	7.644590913e+02	2.280186731e+02	1.499789840e+00	2.910057104e+02	2.671684309e+03	3.429878963e+02	5.709639592e+00	7.339176950e+01	1.015928927e+00	3.913408176e+00	4.821798091e+01	5.116358684e+01	2.799235662e+01	1.410949335e+03	7.732067486e+01	5.011072957e-01	1.861264494e+04	7.222422417e+02	9.055968314e+00	1.089196740e+02
1.521650129e+01	1.407954307e+00	3.784124271e+01	1.384694605e+01	2.352141190e-03	6.550222937e-04	3.624391082e-02	8.242515967e-03	5.232858046e-02	3.109778187e-01	3.523170164e-01	3.627612871e-01	3.636218624e+02	1.186836927e+02	4.755918700e+01	6.151685902e+00	7.297290163e+00	2.027496643e+01	1.974378649e+01	7.489616648e-01	1.536090148e-01	2.706424768e-01	5.448727249e+02	3.003622916e+00	3.669720597e+00	1.011725631e-01	1.383744758e+00	4.603758682e-01	1.792683899e-01	6.605726512e-02	1.440749588e+02	9.521888995e-02	1.148601447e+02	9.605581229e+01	4.914249060e-02	9.378437249e+00	4.380983413e+03	2.048097726e+03	8.364286932e-01	9.641659052e+00	1.923327274e+00	1.333683802e+00	8.153080735e+01	9.755200153e+00	6.889053054e+01	9.246839146e+02	2.384978122e+02	1.896594473e-01	6.790690045e+03	4.806792655e+02	1.565612317e+02	6.985935928e+01
2.018033482e+02	2.433012291e+00	1.359268233e+01	7.450254761e+01	4.081455569e-03	1.436279766e-03	5.420653394e-02	3.606486793e-02	3.120086703e-01	1.864369521e-01	4.749351465e-01	2.179747990e+00	1.025729808e+03	2.949080954e+02	3.849949831e+01	1.086276170e+00	4.648703277e+01	5.708293007e+02	3.517939161e+02	2.518035254e+00	1.716323677e+00	3.383661636e-01	2.988423594e+02	3.970115294e+00	2.815005723e+01	5.428200955e-01	2.934951787e+00	2.925774072e-01	1.249403347e+00	3.919312815e+00	3.620632697e+01	8.122042070e-01	3.137500697e+02	2.838606904e+02	1.440220386e-01	2.221994320e+01	3.015141693e+03	4.450450707e+03	6.334168400e-02	4.605672374e+01	5.120534915e+00	2.680690844e+01	2.002321565e+02	1.128896637e+01	1.114614326e+02	2.565808339e+03	4.196309091e+02	1.654876796e+00	1.403307063e+04	7.886176141e+02	5.695646857e+01	1.995407120e+01
2.509945088e+01	8.295857017e-02	3.796960315e+01	1.208813282e+01	1.465942130e-03	4.260497335e-04	2.068140505e-02	7.425286419e-04	1.130893850e-02	2.635068567e-01	2.922092310e-02	3.549486526e-02	7.608300020e+02	1.556579686e+02	3.757975548e+01	1.488964809e+00	6.224613386e+00	1.377933669e+01	3.167657283e+02	6.309542676e-01	9.683684848e-01	1.122487842e-01	1.304343182e+03	3.235817485e+01	4.454256426e-01	9.233738891e-01	2.094423636e-01	5.895626926e+00	6.101358450e+01	8.184905895e+00	1.227986143e+02	1.996491643e+00	2.932761640e+02	2.414173165e+01	1.436331782e-01	1.514472427e+02	5.021632649e+03	1.580979221e+03	3.522735416e+00	1.299532501e+01	3.172776873e+00	2.283321736e+01	6.016219464e+01	1.940365638e+01	8.332254067e+01	1.223570634e+03	2.526532600e+02	6.574804253e-01	1.623725210e+04	1.422204025e+03	1.201903635e+02	6.348526470e+01
3.819234267e+02	1.400542414e+01	2.380664592e+01	6.968556693e+00	1.953252430e-03	8.761621994e-04	3.418494179e-03	4.805762254e-02	4.309880932e-05	1.891535299e-01	4.053201544e-01	1.592918937e-02	1.017300143e+03	2.068389382e+02	8.203055240e+01	8.599027386e+00	1.410450047e+00	2.105248223e+02	1.744194945e+02	4.673864957e-02	2.721426853e-01	2.437016158e-02	1.240219810e+03	2.659772139e+01	7.993376960e-01	3.855659260e-02	1.550717194e+00	3.823681224e-01	3.808338388e-01	3.145612799e+00	9.357179218e+01	6.457097087e-01	3.867802200e+02	8.647586571e+01	1.100605328e-01	2.190782249e+01	4.843978145e+02	1.328384918e+03	1.471453490e+00	9.351906172e+01	6.561267720e+00	5.883259860e+00	3.672659554e+01	7.271581537e+01	6.751825228e+01	1.368218450e+03	1.148003430e+02	1.444338978e+01	2.210325572e+04	3.385722883e+03	9.601166894e+03	5.427825214e+01
1.463369766e+02	3.279080461e+00	3.541439509e+01	4.372989545e+01	5.180929976e-03	5.052507193e-04	5.357166436e-02	4.236305436e-03	6.026733494e-02	5.397672312e-01	5.730312266e-01	2.336954223e+00	1.723325924e+03	1.832319772e+01	2.914841568e+02	5.049146624e+02	1.546940638e+02	1.230277499e+03	3.764951482e+02	7.176112536e+00	9.877431445e-01	8.227818903e-01	5.693681545e+03	1.225079093e+01	7.275674041e+00	2.557053122e-01	1.080763227e+00	4.867338141e-02	1.533325509e+00	1.563006620e+00	1.655721369e+02	7.204913677e-01	4.204007377e+02	2.529561454e+02	1.407833233e-01	5.926875449e+00	1.158736690e+04	1.995344527e+03	3.173592996e+00	3.462374663e+01	1.108269678e+00	3.363345215e+01	4.592988927e+01	2.246743617e+01	1.457113094e+02	2.171397145e+03	5.222226708e+02	3.252722061e-01	1.246327708e+04	2.354639184e+03	8.146737268e+01	4.367467163e+01
